ʼaca,ʼaca<v>
ʼading,ʼading<v>
adop,adop<v>
ala,ala<v>
araw,araw<v>
asip,asip<v>
cakay,cakay<v>
caliw,caliw<v>
cangcang,cangcang<v>
cenger,cenger<v>
cikay,cikay<v>
dama,dama<v>
dateng,dateng<v>
diput,diput<v>
dohdoh,dohdoh<v>
fanaʼ,fanaʼ<v>
faʼedet,faʼedet<v>
fli,fli<v>
kalat,kalat<v>
kemo,kemo<v>
kowan,kowan<v>
lakec,lakec<v>
laʼop,laʼop<v>
lepun,lepun<v>
likaf,likaf<v>
likid,likid<v>
likot,likot<v>
lokes,lokes<v>
lood,lood<v>
melaw,melaw<v>
nanam,nanam<v>
nanoy,nanoy<v>
naʼon,naʼon<v>
nengneng,nengneng<v>
orad,orad<v>
palal,palal<v>
palu,palu<v>
patay,patay<v>
pesiʼ,pesiʼ<v>
repel,repel<v>
raraw,raraw<v>
rohem,rohem<v>
sahalaka,sahalaka<v>
sangaʼ,sangaʼ<v>
setiʼ,setiʼ<v>
simsim,simsim<v>
talaw,talaw<v>
tangtang,tangtang<v>
tayal,tayal<v>
tayni,tayni<v>
tayra,tayra<v>
tukas,tukas<v>
ucur,ucur<v>
ulah,ulah<v>
utak,utak<v>
ramaʼ,ramaʼ<v>
han,han<v>
kaʼaca,ʼaca<v><neg>
kaʼading,ʼading<v><neg>
kaadop,adop<v><neg>
kaala,ala<v><neg>
kaaraw,araw<v><neg>
kaasip,asip<v><neg>
kacakay,cakay<v><neg>
kacaliw,caliw<v><neg>
kacangcang,cangcang<v><neg>
kacenger,cenger<v><neg>
kacikay,cikay<v><neg>
kadama,dama<v><neg>
kadateng,dateng<v><neg>
kadiput,diput<v><neg>
kadohdoh,dohdoh<v><neg>
kafanaʼ,fanaʼ<v><neg>
kafaʼedet,faʼedet<v><neg>
kafli,fli<v><neg>
kakalat,kalat<v><neg>
kakemo,kemo<v><neg>
kakowan,kowan<v><neg>
kalakec,lakec<v><neg>
kalaʼop,laʼop<v><neg>
kalepun,lepun<v><neg>
kalikaf,likaf<v><neg>
kalikid,likid<v><neg>
kalikot,likot<v><neg>
kalokes,lokes<v><neg>
kalood,lood<v><neg>
kamelaw,melaw<v><neg>
kananam,nanam<v><neg>
kananoy,nanoy<v><neg>
kanaʼon,naʼon<v><neg>
kanengneng,nengneng<v><neg>
kaorad,orad<v><neg>
kapalal,palal<v><neg>
kapalu,palu<v><neg>
kapatay,patay<v><neg>
kapesiʼ,pesiʼ<v><neg>
karepel,repel<v><neg>
kararaw,raraw<v><neg>
karohem,rohem<v><neg>
kasahalaka,sahalaka<v><neg>
kasangaʼ,sangaʼ<v><neg>
kasetiʼ,setiʼ<v><neg>
kasimsim,simsim<v><neg>
katalaw,talaw<v><neg>
katangtang,tangtang<v><neg>
katayal,tayal<v><neg>
katayni,tayni<v><neg>
katayra,tayra<v><neg>
katukas,tukas<v><neg>
kaucur,ucur<v><neg>
kaulah,ulah<v><neg>
kautak,utak<v><neg>
karamaʼ,ramaʼ<v><neg>
kahan,han<v><neg>
miʼaca,ʼaca<v><av>
maʼaca,ʼaca<v><uv><prst>
niʼacaan,ʼaca<v><uv><past>
miʼading,ʼading<v><av>
